Row,Labels,sp gen,common name,fam,gen,sp,ColumnID,allgeier_FFG,Valdivia_FFG2,Valdivia_FFG_big Pred Cat,Valdivia_FFG,tp,Valdivia_TP,transient,chondrichthyes,notes,weak tp est.,a.Valdivia,b.Valdivia,a.Allgeier,b.Allgeier,a.final,b.final,Valdivia Value,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priacanthus,arenatus,Priacanthus arenatus,bigeye,Priacanthidae,Priacanthus,arenatus,Priacanthidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.5,4,n,n,,,0.013,3.039,NA,NA,0.013,3.039,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycteroperca,bonaci,Mycteroperca bonaci,black grouper,Serranidae,Mycteroperca,bonaci,SerranidaeMycteropercabonaci,Piscivore-Invertivore,Apex predator,pred,Piscivore,4.5,4.5,n,n,,,0.0082,3.14,0.0086,3.133333333,0.0082,3.14,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,nigricans,Hypoplectrus nigricans,black hamlet,Serranidae,Hypoplectrus,nigricans,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,3.85,n,n,,,0.011,3.182,0.00903,3.151666667,0.011,3.182,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anisotremus,surinamensis,Anisotremus surinamensis,black margate,Haemulidae,Anisotremus,surinamensis,Haemulidaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.25,n,n,,,0.0233,3.01,0.020616667,3.009333333,0.0233,3.01,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melichthys,niger,Melichthys niger,black trigger,Balistidae,Melichthys,niger,BalistidaeBalistessp,Macroinvertivore,Large Omnivore,Omnivore,Omnivore,3.4,2.4,n,n,,,0.0217,3,0.042866667,2.8868,0.0217,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myripristis,jacobus,Myripristis jacobus,blackbar soldierfish,Holocentridae,Myripristis,jacobus,Holocentridaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.6,3.61,n,n,,,0.111,2.72,0.0198,3,0.111,2.72,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gramma,melacara,Gramma melacara,blackcap basslet,Grammatidae,Gramma,melacara,Grammatidaespsp,Planktivores,Microinvertivore,Microinvertivore,Microinvertivore,3.5,3.5,n,n,,,0.016,3,0.00903,3.151666667,0.016,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres,poeyi,Halichoeres poeyi,Blackear Wrasse,Labridae,Halichoeres,poeyi,LabridaeHalichoeressp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.34,n,n,,,NA,NA,0.0111,3.04,0.0111,3.04,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcharhinus,limbatus,Carcharhinus limbatus,Blacktip Shark,Carcharhinidae,Carcharhinus,limbatus,NM,#N/A,Apex predator,pred,Piscivore,,4.24,y,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blennidae,,Blennidae,Blennidae,Blennidae,Blennidae,,NM,#N/A,Microinvertivore,Microinvertivore,Microinvertivore,,3.41,n,n,,,0.0077,2.962,NA,NA,0.0077,2.962,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromis,cyanea,Chromis cyanea,blue chromis,Pomacentridae,Chromis,cyanea,PomacentridaeChromissp,Planktivores,Planktivore,Planktivore,Planktivore,3.1,3.1,n,n,,,0.0188,3,0.02445,3.0095,0.0188,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyphosus,saltatrix,Kyphosus saltatrix,blue chub,Kyphosidae,Kyphosus,saltatrix,KyphosidaeKyphosussp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,p,n,,,0.0174,3.08,0.0179,3,0.0174,3.08,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,gemma,Hypoplectrus gemma,Blue Hamlet,Serranidae (hamlet),Hypoplectrus,gemma,Serranidaespsp,Piscivore Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.7,3.7,n,n,,,NA,NA,0.00903,3.151666667,0.00903,3.151666667,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus,coeruleus,Scarus coeruleus,blue parrotfish,Scaridae,Scarus,coeruleus,ScaridaeScarussp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.0124,3.111,0.023,2.861,0.0124,3.111,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caranx,crysos,Caranx crysos,blue runner,Carangidae,Caranx,crysos,CarangidaeCaranxsp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.4,y,n,,,0.0524,2.69,0.022966667,2.945,0.0524,2.69,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus,coeruleus,Acanthurus coeruleus,blue tang,Acanthuridae,Acanthurus,coeruleus,AcanthuridaeAcanthuruscoeruleus,Herbivores,Herbivore,Herbivore,Herbivore,2,2.01,n,n,,,0.0305,3,0.0237,2.975,0.0305,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassoma,bifasciatum,Thalassoma bifasciatum,bluehead wrasse,Labridae,Thalassoma,bifasciatum,Labridaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.34,n,n,,,0.0107,2.9162,0.0111,3.04,0.0107,2.9162,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptotomus,roseus,Cryptotomus roseus,Bluelip Parrotfish,Scaridae,Cryptotomus,roseus,ScaridaeSparisomasp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,NA,NA,0.017133333,3.043666667,0.017133333,3.043666667,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulon,sciurus,Haemulon sciurus,bluestriped grunt,Haemulidae,Haemulon,sciurus,HaemulidaeHaemulonsciurus,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.36,n,n,,,0.0194,2.999,0.02,3.01,0.0194,2.999,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulon,vittata,Haemulon vittata,boga,Haemulidae,Haemulon,vittata,HaemulidaeHaemulonsp,Planktivores,Piscivore Invertivore,pred,Macroinvertivore,3.5,3.2,n,n,,,0.0091,3,0.020616667,3.009333333,0.0091,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilomycterus,antennatus,Chilomycterus antennatus,bridled burrfish,Diodontidae,Chilomycterus,antennatus,Tetraodontiformesspsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.3,3.38,n,n,,,0.0755,2.93,0,0,0.0755,2.93,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryphopterus,glaucofraenum,Coryphopterus glaucofraenum,Bridled Goby,Gobiidae,Coryphopterus,glaucofraenum,NM,#N/A,Small Omnivore,Omnivore,Omnivore,,2.7,n,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromis,multilineata,Chromis multilineata,brown chromis,Pomacentridae,Chromis,multilineata,PomacentridaeChromissp,Planktivores,Planktivore,Planktivore,Planktivore,3.1,3.02,n,n,,,0.0262,2.753,0.02445,3.0095,0.0262,2.753,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparisoma,radians,Sparisoma radians,Bucktooth Parrotfish,Scaridae,Sparisoma,radians,ScaridaeSparisomasp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,NA,NA,0.017133333,3.043666667,0.017133333,3.043666667,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
