Year,Island,Reef ID,Transect ID,Distance ID,Shoot ID,Blade ID,Reef,Transect,Distance,Shoot,Blade,Growth,Width,Growth duration,Growth per day,Growth area
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_9,2018_LH1_2_0.5_9_1,LH1,2,0.5,9,1,57,7,10,5.7,39.9
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_9,2018_LH1_2_0.5_9_2,LH1,2,0.5,9,2,22,7,10,2.2,15.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_1,2018_LH1_3_0.5_1_1,LH1,3,0.5,1,1,28,11,10,2.8,30.8
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_1,2018_LH1_3_0.5_1_2,LH1,3,0.5,1,2,88,11,10,8.8,96.8
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_2,2018_LH1_3_0.5_2_1,LH1,3,0.5,2,1,50,10,10,5,50
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_2,2018_LH1_3_0.5_2_2,LH1,3,0.5,2,2,65,10,10,6.5,65
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_3,2018_LH1_3_0.5_3_1,LH1,3,0.5,3,1,50,10.5,10,5,52.5
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_3,2018_LH1_3_0.5_3_2,LH1,3,0.5,3,2,40,10.5,10,4,42
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_4,2018_LH1_3_0.5_4_1,LH1,3,0.5,4,1,52,9,10,5.2,46.8
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_4,2018_LH1_3_0.5_4_2,LH1,3,0.5,4,2,43,9,10,4.3,38.7
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_5,2018_LH1_3_0.5_5_1,LH1,3,0.5,5,1,52,7,10,5.2,36.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_5,2018_LH1_3_0.5_5_2,LH1,3,0.5,5,2,12,7,10,1.2,8.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_6,2018_LH1_3_0.5_6_1,LH1,3,0.5,6,1,52,11,10,5.2,57.2
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_0.5,2018_LH1_3_0.5_6,2018_LH1_3_0.5_6_2,LH1,3,0.5,6,2,21,11,10,2.1,23.1
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_1,2018_LH1_1_1_1_1,LH1,1,1,1,1,35,9.5,10,3.5,33.25
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_1,2018_LH1_1_1_1_2,LH1,1,1,1,2,33,9.5,10,3.3,31.35
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_2,2018_LH1_1_1_2_1,LH1,1,1,2,1,11,10,10,1.1,11
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_2,2018_LH1_1_1_2_2,LH1,1,1,2,2,63,10,10,6.3,63
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_3,2018_LH1_1_1_3_1,LH1,1,1,3,1,34,5.5,10,3.4,18.7
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_3,2018_LH1_1_1_3_2,LH1,1,1,3,2,19,5.5,10,1.9,10.45
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_4,2018_LH1_1_1_4_1,LH1,1,1,4,1,33,10.5,10,3.3,34.65
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_4,2018_LH1_1_1_4_2,LH1,1,1,4,2,45,10.5,10,4.5,47.25
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_5,2018_LH1_1_1_5_1,LH1,1,1,5,1,39,10,10,3.9,39
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_5,2018_LH1_1_1_5_2,LH1,1,1,5,2,25,10,10,2.5,25
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_6,2018_LH1_1_1_6_1,LH1,1,1,6,1,60,11.5,10,6,69
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_6,2018_LH1_1_1_6_2,LH1,1,1,6,2,25,11.5,10,2.5,28.75
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_7,2018_LH1_1_1_7_1,LH1,1,1,7,1,7,7,10,0.7,4.9
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_1,2018_LH1_1_1_7,2018_LH1_1_1_7_2,LH1,1,1,7,2,48,7,10,4.8,33.6
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_1,2018_LH1_2_1_1_1,LH1,2,1,1,1,10,7,10,1,7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_1,2018_LH1_2_1_1_2,LH1,2,1,1,2,30,7,10,3,21
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_2,2018_LH1_2_1_2_1,LH1,2,1,2,1,22,8,10,2.2,17.6
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_2,2018_LH1_2_1_2_2,LH1,2,1,2,2,32,8,10,3.2,25.6
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_3,2018_LH1_2_1_3_1,LH1,2,1,3,1,4,5,10,0.4,2
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_3,2018_LH1_2_1_3_2,LH1,2,1,3,2,27,5,10,2.7,13.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_3,2018_LH1_2_1_3_3,LH1,2,1,3,3,4,5,10,0.4,2
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_4,2018_LH1_2_1_4_1,LH1,2,1,4,1,30,5,10,3,15
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_4,2018_LH1_2_1_4_2,LH1,2,1,4,2,17,5,10,1.7,8.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_5,2018_LH1_2_1_5_1,LH1,2,1,5,1,35,9,10,3.5,31.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_5,2018_LH1_2_1_5_2,LH1,2,1,5,2,31,9,10,3.1,27.9
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_5,2018_LH1_2_1_5_3,LH1,2,1,5,3,3,9,10,0.3,2.7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_6,2018_LH1_2_1_6_1,LH1,2,1,6,1,11,7,10,1.1,7.7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_6,2018_LH1_2_1_6_2,LH1,2,1,6,2,30,7,10,3,21
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_7,2018_LH1_2_1_7_1,LH1,2,1,7,1,35,9,10,3.5,31.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_7,2018_LH1_2_1_7_2,LH1,2,1,7,2,30,9,10,3,27
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_8,2018_LH1_2_1_8_1,LH1,2,1,8,1,10,6,10,1,6
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_1,2018_LH1_2_1_8,2018_LH1_2_1_8_2,LH1,2,1,8,2,25,6,10,2.5,15
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_1,2018_LH1_3_1_1_1,LH1,3,1,1,1,55,10,10,5.5,55
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_1,2018_LH1_3_1_1_2,LH1,3,1,1,2,6,10,10,0.6,6
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_2,2018_LH1_3_1_2_1,LH1,3,1,2,1,30,8,10,3,24
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_2,2018_LH1_3_1_2_2,LH1,3,1,2,2,10,8,10,1,8
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_3,2018_LH1_3_1_3_1,LH1,3,1,3,1,54,9,10,5.4,48.6
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_3,2018_LH1_3_1_3_2,LH1,3,1,3,2,47,9,10,4.7,42.3
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_4,2018_LH1_3_1_4_1,LH1,3,1,4,1,25,8.5,10,2.5,21.25
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_4,2018_LH1_3_1_4_2,LH1,3,1,4,2,87,8.5,10,8.7,73.95
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_5,2018_LH1_3_1_5_1,LH1,3,1,5,1,10,9.5,10,1,9.5
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_5,2018_LH1_3_1_5_2,LH1,3,1,5,2,57,9.5,10,5.7,54.15
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_6,2018_LH1_3_1_6_1,LH1,3,1,6,1,15,9,10,1.5,13.5
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_6,2018_LH1_3_1_6_2,LH1,3,1,6,2,78,9,10,7.8,70.2
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_7,2018_LH1_3_1_7_1,LH1,3,1,7,1,58,9,10,5.8,52.2
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_1,2018_LH1_3_1_7,2018_LH1_3_1_7_2,LH1,3,1,7,2,34,9,10,3.4,30.6
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_1,2018_LH1_1_2_1_1,LH1,1,2,1,1,21,8,10,2.1,16.8
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_1,2018_LH1_1_2_1_2,LH1,1,2,1,2,1,8,10,0.1,0.8
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_1,2018_LH1_1_2_1_3,LH1,1,2,1,3,5,8,10,0.5,4
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_2,2018_LH1_1_2_2_1,LH1,1,2,2,1,2,5.5,10,0.2,1.1
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_2,2018_LH1_1_2_2_2,LH1,1,2,2,2,14,5.5,10,1.4,7.7
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_2,2018_LH1_1_2_2_3,LH1,1,2,2,3,15,5.5,10,1.5,8.25
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_3,2018_LH1_1_2_3_1,LH1,1,2,3,1,12,6,10,1.2,7.2
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_3,2018_LH1_1_2_3_2,LH1,1,2,3,2,25,6,10,2.5,15
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_4,2018_LH1_1_2_4_1,LH1,1,2,4,1,30,6,10,3,18
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_2,2018_LH1_1_2_4,2018_LH1_1_2_4_2,LH1,1,2,4,2,2,6,10,0.2,1.2
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_1,2018_LH1_2_2_1_1,LH1,2,2,1,1,24,6,10,2.4,14.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_1,2018_LH1_2_2_1_2,LH1,2,2,1,2,8,6,10,0.8,4.8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_1,2018_LH1_2_2_1_3,LH1,2,2,1,3,15,6,10,1.5,9
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_2,2018_LH1_2_2_2_1,LH1,2,2,2,1,30,8,10,3,24
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_2,2018_LH1_2_2_2_2,LH1,2,2,2,2,20,8,10,2,16
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_3,2018_LH1_2_2_3_1,LH1,2,2,3,1,18,6,10,1.8,10.8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_3,2018_LH1_2_2_3_2,LH1,2,2,3,2,5,6,10,0.5,3
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_3,2018_LH1_2_2_3_3,LH1,2,2,3,3,14,6,10,1.4,8.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_4,2018_LH1_2_2_4_1,LH1,2,2,4,1,10,8,10,1,8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_4,2018_LH1_2_2_4_2,LH1,2,2,4,2,38,8,10,3.8,30.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_5,2018_LH1_2_2_5_1,LH1,2,2,5,1,30,7,10,3,21
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_5,2018_LH1_2_2_5_2,LH1,2,2,5,2,18,7,10,1.8,12.6
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_6,2018_LH1_2_2_6_1,LH1,2,2,6,1,7,7,10,0.7,4.9
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_6,2018_LH1_2_2_6_2,LH1,2,2,6,2,27,7,10,2.7,18.9
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_7,2018_LH1_2_2_7_1,LH1,2,2,7,1,3,7,10,0.3,2.1
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_7,2018_LH1_2_2_7_2,LH1,2,2,7,2,23,7,10,2.3,16.1
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_8,2018_LH1_2_2_8_1,LH1,2,2,8,1,12,7,10,1.2,8.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_8,2018_LH1_2_2_8_2,LH1,2,2,8,2,14,7,10,1.4,9.8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_9,2018_LH1_2_2_9_1,LH1,2,2,9,1,3,5,10,0.3,1.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_2,2018_LH1_2_2_9,2018_LH1_2_2_9_2,LH1,2,2,9,2,20,5,10,2,10
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_1,2018_LH1_3_2_1_1,LH1,3,2,1,1,24,6,10,2.4,14.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_1,2018_LH1_3_2_1_2,LH1,3,2,1,2,25,6,10,2.5,15
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_2,2018_LH1_3_2_2_1,LH1,3,2,2,1,10,8,10,1,8
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_2,2018_LH1_3_2_2_2,LH1,3,2,2,2,23,8,10,2.3,18.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_3,2018_LH1_3_2_3_1,LH1,3,2,3,1,4,9,10,0.4,3.6
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_3,2018_LH1_3_2_3_2,LH1,3,2,3,2,27,9,10,2.7,24.3
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_4,2018_LH1_3_2_4_1,LH1,3,2,4,1,20,7,10,2,14
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_2,2018_LH1_3_2_4,2018_LH1_3_2_4_2,LH1,3,2,4,2,20,7,10,2,14
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_1,2018_LH1_1_3_1_1,LH1,1,3,1,1,30,6,10,3,18
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_2,2018_LH1_1_3_2_1,LH1,1,3,2,1,20,5.5,10,2,11
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_2,2018_LH1_1_3_2_2,LH1,1,3,2,2,2,5.5,10,0.2,1.1
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_3,2018_LH1_1_3_3_1,LH1,1,3,3,1,22,7,10,2.2,15.4
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_3,2018_LH1_1_3_3_2,LH1,1,3,3,2,9,7,10,0.9,6.3
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_4,2018_LH1_1_3_4_1,LH1,1,3,4,1,18,6,10,1.8,10.8
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_5,2018_LH1_1_3_5_1,LH1,1,3,5,1,4,5,10,0.4,2
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_5,2018_LH1_1_3_5_2,LH1,1,3,5,2,12,5,10,1.2,6
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_6,2018_LH1_1_3_6_1,LH1,1,3,6,1,24,5.5,10,2.4,13.2
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_7,2018_LH1_1_3_7_1,LH1,1,3,7,1,6,6.5,10,0.6,3.9
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_3,2018_LH1_1_3_7,2018_LH1_1_3_7_2,LH1,1,3,7,2,25,6.5,10,2.5,16.25
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_1,2018_LH1_2_3_1_1,LH1,2,3,1,1,13,7,10,1.3,9.1
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_1,2018_LH1_2_3_1_2,LH1,2,3,1,2,14,7,10,1.4,9.8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_2,2018_LH1_2_3_2_1,LH1,2,3,2,1,28,8,10,2.8,22.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_2,2018_LH1_2_3_2_2,LH1,2,3,2,2,30,8,10,3,24
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_3,2018_LH1_2_3_3_1,LH1,2,3,3,1,24,7,10,2.4,16.8
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_3,2018_LH1_2_3_3_2,LH1,2,3,3,2,11,7,10,1.1,7.7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_4,2018_LH1_2_3_4_1,LH1,2,3,4,1,2,5,10,0.2,1
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_4,2018_LH1_2_3_4_2,LH1,2,3,4,2,20,5,10,2,10
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_5,2018_LH1_2_3_5_1,LH1,2,3,5,1,29,7,10,2.9,20.3
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_3,2018_LH1_2_3_5,2018_LH1_2_3_5_2,LH1,2,3,5,2,30,7,10,3,21
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_1,2018_LH1_3_3_1_1,LH1,3,3,1,1,5,8,10,0.5,4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_1,2018_LH1_3_3_1_2,LH1,3,3,1,2,30,8,10,3,24
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_2,2018_LH1_3_3_2_1,LH1,3,3,2,1,41,9,10,4.1,36.9
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_2,2018_LH1_3_3_2_2,LH1,3,3,2,2,31,9,10,3.1,27.9
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_3,2018_LH1_3_3_3_1,LH1,3,3,3,1,52,10,10,5.2,52
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_4,2018_LH1_3_3_4_1,LH1,3,3,4,1,43,10,10,4.3,43
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_4,2018_LH1_3_3_4_2,LH1,3,3,4,2,48,10,10,4.8,48
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_5,2018_LH1_3_3_5_1,LH1,3,3,5,1,44,8.5,10,4.4,37.4
2018,Bahamas,2018_LH1,2018_LH1_3,2018_LH1_3_3,2018_LH1_3_3_5,2018_LH1_3_3_5_2,LH1,3,3,5,2,28,8.5,10,2.8,23.8
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_1,2018_LH1_1_4_1_1,LH1,1,4,1,1,18,5,10,1.8,9
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_1,2018_LH1_1_4_1_2,LH1,1,4,1,2,35,5,10,3.5,17.5
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_2,2018_LH1_1_4_2_1,LH1,1,4,2,1,5,4.5,10,0.5,2.25
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_2,2018_LH1_1_4_2_2,LH1,1,4,2,2,39,5,10,3.9,19.5
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_2,2018_LH1_1_4_2_3,LH1,1,4,2,3,5,5,10,0.5,2.5
2018,Bahamas,2018_LH1,2018_LH1_1,2018_LH1_1_4,2018_LH1_1_4_2,2018_LH1_1_4_2_4,LH1,1,4,2,4,44,4.5,10,4.4,19.8
