ModelLevel,ColumnID,P.int,P.intCI,P.intSD,P.slope,P.slopeCI,P.slopeSD,Emp.N,ModelLevel,N.int,N.intCI,N.intSD,N.slope,N.slopeCI,N.slopeSD,N,N.sd,C,C.sd,P,P.sd,notes
Species,GerreidaeGerrescinereus,-0.001733982,0.000363235,-0.001012865,3.34E-05,3.13E-06,3.95E-05,9,Species,0.014721503,0.005780757,0.025841957,0.000334553,4.69E-05,0.000428282,10.50964044,0,33.18196445,0,5.901882384,0,
Genus,GerreidaeGerressp,-0.000634957,0.000653583,0.000625787,2.89E-05,4.57E-06,3.79E-05,9,Genus,0.012455801,0.004737849,0.021677377,0.000310518,4.52E-05,0.000400669,10.50964044,0,33.18196445,0,5.901882384,0,
Family,Gerreidaespsp,0.000505977,0.000379478,0.001234472,3.54E-05,5.25E-06,4.60E-05,19,Family,0.00707322,0.003665073,0.013980798,0.00037935,3.26E-05,0.000443571,10.88015406,0.523985397,34.89159203,2.417778517,4.482616113,2.007145609,
BioEn,Grammatidaespsp,0.000158083,,6.37E-05,2.47E-05,,1.10E-06,,BioEn,0.003685305,,0.000623619,0.000223262,,1.03E-05,11.09663101,0.799421079,37.77892364,2.362241687,3.676462843,0.539189301,used mean serranidae data
Species,HaemulidaeHaemulonflavolineatum,0.002275105,0.000423957,0.003100932,2.93E-05,7.81E-06,4.49E-05,18,Species,0.00266911,0.000898442,0.004462976,0.000327952,1.76E-05,0.000361135,10.14743106,0.415611566,36.90703677,2.142992442,3.853673686,0.296891794,
Species,HaemulidaeHaemulonmelanurum,-0.000129821,0.000217242,0.000301206,3.23E-05,2.16E-06,3.67E-05,13,Species,0.003520506,0.000974352,0.005450558,0.000284955,3.48E-05,0.000354852,11.90900407,0.665757346,36.55257526,1.448817562,4.113882625,0.539361841,
Species,HaemulidaeHaemulonparra,-9.65E-05,0.00051617,0.000898718,2.84E-05,3.56E-06,3.57E-05,5,Species,0.013962496,0.003692325,0.021268346,0.000214471,2.74E-05,0.00026653,10.44123245,0.800446067,40.48702675,5.338522939,3.456863133,0.204379911,
Species,HaemulidaeHaemulonplumieri,0.000338739,0.000276883,0.000884803,2.66E-05,3.88E-06,3.44E-05,26,Species,0.008352779,0.001689062,0.011572502,0.00028325,1.29E-05,0.000307835,10.75607951,0.677737632,37.85243801,2.331161453,3.844795637,0.327919405,
Species,HaemulidaeHaemulonsciurus,0.000535002,0.000923963,0.00233745,3.16E-05,6.06E-06,4.35E-05,4,Species,0.009848736,0.005822005,0.021144936,0.000284366,4.00E-05,0.000361786,10.64882957,0.679755808,39.37294793,2.08146274,3.551243206,0.376500295,
Genus,HaemulidaeHaemulonsp,0.000967746,0.00023026,0.001429488,2.96E-05,3.08E-06,3.57E-05,66,Genus,0.006252824,0.001452663,0.009283186,0.000303582,2.19E-05,0.000346174,10.67780569,0.797632797,38.07703616,3.130419971,3.778772858,0.3713696,
Family,Haemulidaespsp,0.000594314,0.000241559,0.001079555,3.67E-05,3.40E-06,4.33E-05,66,Family,0.006347848,0.001278651,0.008892392,0.000299593,1.68E-05,0.000332536,10.67780569,0.797632797,38.07703616,3.130419971,3.778772858,0.3713696,
Species,HolocentridaeHolocentrusadscensionis,0.000322224,0.000813513,0.001925661,1.55E-05,5.83E-06,2.73E-05,13,Species,0.011152996,0.004103395,0.019144256,0.00023991,3.21E-05,0.000303725,10.00110279,1.320254325,39.8081157,5.335991432,4.331633626,0.785959638,
Species,HolocentridaeHolocentruscoruscum,0.00025119,0.000618087,0.001519189,4.61E-05,8.48E-06,6.27E-05,4,Species,0.006400788,0.003410168,0.013188245,0.000203377,5.51E-05,0.000310378,9.381920133,0.18993009,40.60654717,2.190312348,4.421243111,0.189388613,
Genus,HolocentridaeHolocentrussp,0.000524062,0.000456434,0.00138885,1.43E-05,4.12E-06,2.25E-05,20,Genus,0.010870739,0.003621436,0.017631094,0.000233042,3.13E-05,0.000294496,9.851742345,1.072848805,39.33524505,4.623251499,4.346979724,0.746071962,
Family,Holocentridaespsp,0.000658521,0.000466505,0.001573138,1.25E-05,4.18E-06,2.11E-05,20,Family,0.013834964,0.003395847,0.02054228,0.000203613,2.67E-05,0.00025582,9.851742345,1.072848805,39.33524505,4.623251499,4.346979724,0.746071962,
BioEn,KyphosidaeKyphosussp,-0.003168771,,0.000365821,5.80E-06,,5.79E-07,,BioEn,0.004790005,,0.002361181,8.18E-05,,4.16E-06,11.25623868,0.238105756,36.41729867,2.579111322,3.803989975,0.451382516,
BioEn,Kyphosidaespsp,-0.003052359,,0.000369039,5.60E-06,,6.13E-07,,BioEn,0.001881842,,0.003011474,9.08E-05,,4.97E-06,11.25623868,0.238105756,36.41729867,2.579111322,3.803989975,0.451382516,
Species,LabridaeHalichoeresbivittatus,-9.40E-05,0.00012424,0.000152556,4.88E-05,7.50E-06,6.37E-05,15,Species,0.002257777,0.001136507,0.004471576,0.000492292,6.88E-05,0.0006299,10.83130257,0.511114971,38.20624164,1.527327032,3.389917953,0.304609995,
Genus,LabridaeHalichoeressp,-0.000159964,0.000142297,0.000111996,4.81E-05,9.74E-06,6.73E-05,16,Genus,0.002255371,0.001495953,0.005140827,0.00045571,4.59E-05,0.000546269,10.88804111,0.511130368,38.08646749,1.532726299,3.511729305,0.40026499,
BioEn,LabridaeLachnolaimusmaximus,-0.001911116,,0.000351345,1.52E-05,,4.77E-07,,BioEn,0.019225778,,0.003816387,0.000143335,,5.29E-06,12.00197572,0.412261114,39.27615363,0.637055031,3.335026917,0.592181962,
BioEn,LabridaeLachnolaimussp,-0.001867068,,0.000413955,1.53E-05,,5.71E-07,,BioEn,0.016056718,,0.003067195,0.00014478,,4.27E-06,12.00197572,0.412261114,39.27615363,0.637055031,3.335026917,0.592181962,
Family,Labridaespsp,-6.98E-05,0.000107313,0.000143625,3.74E-05,8.07E-06,5.37E-05,21,Family,0.002542569,0.001315281,0.005158667,0.000505069,4.03E-05,0.000583257,10.94717861,0.546336488,38.09281588,1.437543279,3.551381139,0.409698522,
Genus,LabridaeThalassomasp,9.89E-05,0.000431836,0.001082175,5.17E-05,9.80E-06,7.05E-05,5,Genus,0.009139952,0.002374882,0.0137546,0.000542483,4.33E-05,0.000624966,10.78777646,0.267799787,37.71900221,1.121041649,3.752367671,0.329000775,
Species,LutjanidaeLutjanusapodus,0.000240501,0.00025071,0.000719474,1.15E-05,2.53E-06,1.66E-05,37,Species,0.005052492,0.003159315,0.011218475,0.000150314,3.13E-05,0.000213127,10.5152421,0.532072811,36.45213749,3.421133125,4.091900194,0.554179003,
Genus,LutjanidaeLutjanuscyanopterus,9.27E-05,0.000368361,0.000821511,1.92E-05,2.14E-06,2.35E-05,94,Genus,0.004789383,0.003909296,0.012537121,0.000359637,2.13E-05,0.00040021,10.73764197,0.52097784,37.15540305,2.844431786,3.721188071,0.551395846,
Species,LutjanidaeLutjanusgriseus,-0.000201524,0.00077431,0.001322351,2.18E-05,3.84E-06,2.95E-05,44,Species,0.016609155,0.005178213,0.026999439,0.000369014,2.74E-05,0.000422167,10.83548653,0.443734629,37.04598118,2.062462154,3.548859026,0.416376157,
Genus,LutjanidaeLutjanussp,0.000124706,0.00037458,0.000853035,1.88E-05,2.17E-06,2.31E-05,94,Genus,0.006908247,0.004227596,0.015425805,0.000345675,2.41E-05,0.000393193,10.73764197,0.52097784,37.15540305,2.844431786,3.721188071,0.551395846,
Species,LutjanidaeLutjanussynagris,0.001098845,0.000960929,0.002936856,1.64E-05,4.58E-06,2.55E-05,12,Species,0.001066172,0.006687894,0.013924199,0.000278873,3.01E-05,0.000340961,10.9041713,0.6315856,39.4171194,3.082097549,3.483723944,0.580466566,
Genus,LutjanidaeOcyurussp,-0.000884944,0.001664841,0.002362621,7.30E-05,2.31E-05,0.000118194,9,Genus,0.000581195,0.002460861,0.005501869,0.000350858,2.86E-05,0.000407211,11.41949572,1.200955626,38.16626528,4.646547537,3.396592069,0.264670037,
BioEn,MullidaePsuedupeneussp,0.00230971,,0.000336998,3.84E-05,,1.10E-06,,BioEn,0.027623484,,0.002503655,0.000354688,,8.76E-06,9.986938646,0.938334573,36.4304261,4.387836937,3.226334882,0.160045263,
BioEn,Mullidaespsp,0.002407187,,0.000286785,3.79E-05,,9.50E-07,,BioEn,0.027810999,,0.002597733,0.000352314,,9.01E-06,9.986938646,0.938334573,36.4304261,4.387836937,3.226334882,0.160045263,
Genus,MuraenidaeGymnothoraxsp,0.001607609,0.00641593,0.015336955,5.04E-05,3.29E-05,8.88E-05,8,Genus,0.013143018,0.024849164,0.061911855,6.65E-05,2.22E-05,0.000109256,11.91824845,0.932293354,46.77373892,4.846101566,1.855034585,0.583363097,
Family,Muraenidaespsp,0.000850268,0.000785747,0.002443374,-1.25E-07,1.10E-06,2.07E-06,8,Family,-0.022396169,0.022718918,0.01967858,0.000104927,2.36E-05,0.000152795,11.91824845,0.932293354,46.77373892,4.846101566,1.855034585,0.583363097,
BioEn,Muraenidaespsp,0.018404834,,0.003190273,6.88E-05,,3.76E-06,,,,,,,,,,,,,,,
BioEn,OstraciidaeRhinesomussp,0.00151165,,0.000471438,1.49E-05,,6.22E-07,,BioEn,0.023884333,,0.00363946,0.000139974,,5.00E-06,9.330968207,0.919057611,43.59385809,7.490935465,2.464649265,0.08661521,
BioEn,Ostraciidaespsp,0.001251453,,0.000451641,1.54E-05,,6.25E-07,,BioEn,0.025293832,,0.003783325,0.000135841,,5.50E-06,9.330968207,0.919057611,43.59385809,7.490935465,2.464649265,0.08661521,
Genus,PomacanthidaeHolacanthussp,-1.39E-05,0.000201527,0.000339597,2.48E-05,5.97E-06,3.64E-05,4,Genus,0.006319175,0.003848976,0.014857238,0.000261975,2.41E-05,0.0003081,9.712408409,0.582996558,37.58431608,2.356087574,3.913455073,0.603860909,
Family,Pomacanthidaespsp,0.000876561,0.000612346,0.002180892,2.43E-05,3.20E-06,3.05E-05,5,Family,0.00633065,0.00311861,0.012744107,0.000246858,3.31E-05,0.000309795,9.986232328,0.790919765,39.13382525,3.756274551,3.375123129,1.157754997,
Genus,PomacentridaeAbudefdufsp,0.00023353,0.000249179,0.000709952,4.47E-05,5.57E-06,5.57E-05,7,Genus,0.005456393,0.001814467,0.009065624,0.000403949,5.44E-05,0.000507527,10.63417002,0.344895824,37.05870856,1.557657729,4.00047219,0.503395276,
BioEn,PomacentridaeChromissp,0.001143498,,9.67E-05,7.40E-05,,1.63E-06,,BioEn,0.015873091,,0.001105649,0.000734582,,1.80E-05,11,3.161707157,0.883158424,9.947962142,2.778760375,0.65,used the mean family values
Family,Pomacentridaespsp,0.000242588,0.000145346,0.000521774,2.75E-05,6.54E-06,4.01E-05,23,Family,0.003013107,0.001203694,0.005363134,0.000387134,5.95E-05,0.000503591,9.635460852,1.083992657,37.71452997,2.550056168,4.346043634,0.615100867,
Genus,PomacentridaeStegastessp,-0.00012684,9.20E-05,4.00E-05,2.46E-05,2.31E-06,2.90E-05,16,Genus,0.002046795,0.001235815,0.004511627,0.000319849,6.23E-05,0.000441224,9.247073952,1.022974446,37.96957163,2.842198248,4.49723114,0.611096223,
BioEn,Priacanthidaespsp,-0.004662776,,0.000462422,2.04E-05,,5.33E-07,,BioEn,0.009349696,,0.004417913,0.000175207,,5.42E-06,11,0,0,0,3,0,
Genus,ScaridaeScarussp,-0.002563459,0.001242047,-0.000125314,1.06E-05,4.58E-06,1.95E-05,3,Genus,0.003993229,0.00892417,0.021594382,0.000118066,3.44E-05,0.000186267,10.81086164,0.578401809,37.08359331,1.57062266,3.35437625,0.27319677,
Genus,ScaridaeSparisomaaurofrenatum,-0.002078266,0.00054583,-0.000997333,6.95E-06,1.35E-06,9.57E-06,18,Genus,0.005578144,0.001615896,0.00875832,0.000186773,1.95E-05,0.000222984,11.16562127,1.083984969,37.76803397,3.246590587,3.119193766,0.419168097,
Species,ScaridaeSparisomachrysopterum,-0.002996845,0.000361373,-0.002280901,7.43E-06,1.03E-06,9.43E-06,12,Species,0.010651608,0.004025737,0.01797214,0.000118093,1.45E-05,0.000146351,11.88691458,0.547736475,39.78338351,1.333607139,2.944151355,0.271540943,
Genus,ScaridaeSparisomasp,-0.00028996,0.000276964,0.000245052,1.66E-05,2.43E-06,2.11E-05,18,Genus,0.005736283,0.001649564,0.008950503,0.000172067,1.91E-05,0.000208983,11.16562127,1.083984969,37.76803397,3.246590587,3.119193766,0.419168097,
Genus,ScaridaeSparisomaviride,-0.001233662,0.000692657,-3.91E-05,9.64E-06,2.09E-06,1.36E-05,18,Genus,0.005305134,0.001576498,0.008386304,0.000196648,1.98E-05,0.000236076,11.06333157,0.413269201,36.15941943,1.530137624,3.110328806,0.823818341,
Family,Scaridaespsp,0.000162175,0.00040275,0.000929296,1.00E-05,2.03E-06,1.40E-05,22,Family,0.004919065,0.001690743,0.008166366,0.000266203,1.40E-05,0.000293474,11.14417692,1.036265248,37.65559344,3.096529972,3.15765318,0.409248713,
Species,SciaenidaeParequesacuminatus,4.97E-05,3.18E-05,0.00011037,2.30E-05,4.53E-06,3.17E-05,5,species,0.002235009,0.001040199,0.004410017,0.00019745,3.70E-05,0.000268046,10.27667073,1.243797135,35.7880329,3.570509183,3.023553358,0.481741139,
Family,Sciaenidaespsp,4.97E-05,3.18E-05,0.00011037,2.30E-05,4.53E-06,3.17E-05,5,Family,0.002235009,0.001040199,0.004410017,0.00019745,3.70E-05,0.000268046,10.27667073,1.243797135,35.7880329,3.570509183,3.023553358,0.481741139,
BioEn,Scombridaespsp,0.031857309,,0.007600842,0.00010611,,2.64E-06,,BioEn,0.046633013,,0.017318793,0.00025133,,5.99E-06,11,0,0,0,3,0,
Species,ScorpaenidaePteroisvolitans,-0.003835808,0.003193006,0.002802609,0.000180347,3.37E-05,0.000246142,5,species,-0.004004121,0.003965495,0.004214726,0.000496301,7.27E-05,0.000634521,10.31,0.36,39.8,1.9,3.25,0.309,
Family,Scorpaenidaespsp,-0.003835808,0.003193006,0.002802609,0.000180347,3.37E-05,0.000246142,5,Family,0.002235009,0.001040199,0.004410017,0.00019745,3.70E-05,0.000268046,10.31,0.36,39.8,1.9,3.25,0.309,
Genus,SerranidaeEpinephelussp,-0.000235268,0.001639511,0.003061386,1.24E-05,2.85E-06,1.81E-05,13,Genus,0.016903672,0.008981626,0.034484725,0.000128409,2.03E-05,0.000168847,11.07605231,0.835135869,37.74865167,2.242023512,3.755346451,0.480265756,
Species,SerranidaeEpinephelusstriatus,0.000134139,0.005309009,0.010735225,5.95E-05,5.94E-06,7.13E-05,9,Species,0.024539198,0.011817898,0.047054977,0.000103896,2.40E-05,0.000152374,11.22227147,0.859916575,38.0002971,1.943408899,3.76967762,0.465172021,
Species,SerranidaeMycteropercabonaci,0.000323554,0.00075003,0.001798243,9.86E-06,7.12E-06,2.38E-05,9,Species,0.046128533,0.014224863,0.074796195,0.000115,5.63E-05,0.000223706,11.02486416,0.669540369,37.3780257,2.463855821,3.547695513,0.656799939,
Genus,SerranidaeMycteropercasp,0.000159308,0.000939597,0.001801326,9.81E-06,8.47E-06,2.73E-05,10,Genus,0.031347434,0.011339504,0.053070775,0.000168599,2.65E-05,0.000221069,11.14807774,0.741815888,37.85460357,2.768996331,3.487142184,0.648167741,
Family,Serranidaespsp,-0.000152506,0.000786228,0.001370928,1.24E-05,1.80E-06,1.59E-05,23,Family,0.029211792,0.007436661,0.043471987,0.000113347,1.82E-05,0.000150242,11.09663101,0.799421079,37.77892364,2.362241687,3.676462843,0.539189301,
BioEn,SparidaeCalamussp,0.011730756,,0.002331065,8.66E-05,,3.93E-06,,BioEn,0.028677905,,0.006370362,0.000244466,,1.01E-05,11.51582002,0.641864169,38.28761897,4.188231286,3.713802441,0.442939149,
BioEn,Sparidaespsp,0.009267881,,0.002371887,9.28E-05,,3.87E-06,,BioEn,0.031102105,,0.0068985,0.000236327,,1.10E-05,11.51582002,0.641864169,38.28761897,4.188231286,3.713802441,0.442939149,
BioEn,SphyraenidaeSphyraenasp,0.031738014,,0.005828644,9.02E-05,,3.15E-06,,BioEn,0.080483277,,0.009865352,0.000183807,,5.99E-06,10.94064121,0.30730834,34.40630198,0.009240521,5.21758068,0.803403263,
BioEn,Sphyraenidaespsp,0.031173506,,0.005338633,8.70E-05,,2.97E-06,,BioEn,0.060244609,,0.010922662,0.00019245,,6.43E-06,10.94064121,0.30730834,34.40630198,0.009240521,5.21758068,0.803403263,
Family,Syngnathidaespsp,3.79E-05,4.11E-05,0.000118914,0.000110243,6.68E-06,0.000122925,2,Family,-0.001001351,0.000265061,-0.000642851,0.000745624,8.85E-05,0.000916195,9.959263321,1.523478377,33.33573923,5.17110835,3.998703072,1.339814567,
Species,TetraodontidaeCanthigasterrostrata,-8.15E-05,1.83E-05,-4.71E-05,3.06E-05,2.46E-06,3.56E-05,12,Species,0.001921454,0.000940226,0.003788431,0.000319904,4.17E-05,0.000401699,11.72647929,0.693087771,39.9632597,1.222935031,2.909468706,0.73328404,
Genus,TetraodontidaeCanthigastersp,-7.13E-05,2.05E-05,-3.17E-05,2.83E-05,3.55E-06,3.53E-05,12,Genus,0.002336049,0.000974367,0.00420492,0.000245641,5.37E-05,0.0003503,11.72647929,0.693087771,39.9632597,1.222935031,2.909468706,0.73328404,
Genus,TetraodontidaeSphoeroidessp,-0.001010587,0.000382344,-0.000267624,1.28E-05,2.69E-06,1.81E-05,20,Genus,0.004774581,0.004378784,0.013443809,0.000159586,3.01E-05,0.000218014,11.87523227,1.100537517,42.26987847,2.398548163,2.51817609,0.377860634,
Species,TetraodontidaeSphoeroidestestudineus,-0.001069813,0.000444002,-0.000223773,1.31E-05,3.15E-06,1.93E-05,20,Species,-0.000747519,0.003436034,0.005999215,0.000205077,2.26E-05,0.000250886,11.87523227,1.100537517,42.26987847,2.398548163,2.51817609,0.377860634,
Family,Tetraodontidaespsp,-0.000164604,0.000205431,0.000243228,7.15E-06,1.83E-06,1.08E-05,16,Family,0.00197993,0.002331609,0.006555373,0.000183215,2.10E-05,0.000224109,11.80581421,0.904082522,41.19345638,2.221772406,2.68936661,0.575692768,
Family,Tetraodontiformesspsp,-0.000144496,0.000193163,0.000250184,6.77E-06,1.62E-06,9.94E-06,18,Family,0.003371578,0.002008001,0.007266096,0.000180512,1.61E-05,0.00021244,11.42731419,1.030384733,40.13353553,3.28318886,2.984731912,0.712392979,
